[COT 2023-12-17 14:57:31] 76561199407766611: Set GodMode To true [guid=spMEkRl42onhFHdF_u42e0T03x2sj347kUc600NXdGA=]
[COT 2023-12-17 14:57:32] 76561199407766611: Set UnlimitedAmmo To true [guid=spMEkRl42onhFHdF_u42e0T03x2sj347kUc600NXdGA=]
[COT 2023-12-17 14:57:32] 76561199407766611: Set UnlimitedStamina To true [guid=spMEkRl42onhFHdF_u42e0T03x2sj347kUc600NXdGA=]
[COT 2023-12-17 14:57:42] 76561199407766611: Teleported to position <6869.208008, 15.245127, 11329.211914>
[COT 2023-12-17 14:58:41] 76561199407766611: Entered the Free Camera
[COT 2023-12-17 14:58:53] 76561199407766611: Left the Free Camera
[COT 2023-12-17 14:59:4s] 76561199407766611: Spawned Entity Flag Pole Kit (TerritoryFlagKit<3d975350>, 100, 200, 0) at <6739.446289, 44.283039, 11380.729492>
[COT 2023-12-17 15:0m:52] 76561199407766611: Spawned Entity Large Stone (Stone<439db8c0>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:53] 76561199407766611: Spawned Entity Large Stone (Stone<310ea160>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:53] 76561199407766611: Spawned Entity Large Stone (Stone<310e5e70>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:53] 76561199407766611: Spawned Entity Large Stone (Stone<310eaaf0>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:53] 76561199407766611: Spawned Entity Large Stone (Stone<310e84b0>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:54] 76561199407766611: Spawned Entity Large Stone (Stone<310ebe10>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:54] 76561199407766611: Spawned Entity Large Stone (Stone<310e54e0>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:54] 76561199407766611: Spawned Entity Large Stone (Stone<310eb480>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:54] 76561199407766611: Spawned Entity Large Stone (Stone<310ec7a0>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:55] 76561199407766611: Spawned Entity Large Stone (Stone<310e8e40>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:55] 76561199407766611: Spawned Entity Large Stone (Stone<310e6800>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:0m:55] 76561199407766611: Spawned Entity Large Stone (Stone<310e7190>, 1, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:2m:9s] 76561199407766611: Spawned Entity Wooden Log (WoodenLog<310eaaf0>, 1, 500, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:2m:9s] 76561199407766611: Spawned Entity Wooden Log (WoodenLog<310eb480>, 1, 500, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:2m:9s] 76561199407766611: Spawned Entity Wooden Log (WoodenLog<310e84b0>, 1, 500, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:2m:13] 76561199407766611: Spawned Entity Nails (Nail<310ec7a0>, 99, 80, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:2m:18] 76561199407766611: Spawned Entity Tripwire (TripwireTrap<2fb97020>, 99, 50, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:2m:19] 76561199407766611: Spawned Entity Metal Wire (MetalWire<310ee450>, 99, 500, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:2m:24] 76561199407766611: Spawned Entity Rope (Rope<310e7b20>, 99, 200, 0) at <6738.131836, 44.284027, 11380.733398>
[COT 2023-12-17 15:3m:20] 76561199407766611: Spawned Entity Barrel (Barrel_Green<22584750>, 0, 1300, 512) at <6740.715332, 44.281967, 11383.299805>
[COT 2023-12-17 15:3m:23] 76561199407766611: Spawned Entity Barrel (Barrel_Red<2257d8a0>, 0, 1300, 512) at <6743.246094, 44.280037, 11383.862305>
[COT 2023-12-17 15:3m:55] 76561199407766611: Spawned Entity Barrel (Barrel_Blue<22585160>, 200000, 1300, 512) at <6726.935059, 47.735542, 11376.767578>
[COT 2023-12-17 15:3m:58] 76561199407766611: Spawned Entity Barrel (Barrel_Red<2257e2b0>, 200000, 1300, 512) at <6725.821289, 47.736435, 11375.199219>
[COT 2023-12-17 15:4m:18] 76561199407766611: Spawned Entity Barrel (Barrel_Green<225883b0>, 200000, 1300, 512) at <6742.411621, 51.101074, 11380.801758>
[COT 2023-12-17 15:4m:22] 76561199407766611: Spawned Entity Barrel (Barrel_Red<2258c010>, 200000, 1300, 512) at <6745.003418, 51.099068, 11380.614258>
[COT 2023-12-17 15:4m:25] 76561199407766611: Spawned Entity Barrel (Barrel_Yellow<22586580>, 200000, 1300, 512) at <6745.883789, 51.098392, 11378.512695>
[COT 2023-12-17 15:4m:55] 76561199407766611: Spawned Entity Barrel (Barrel_Green<2258ca20>, 200000, 1300, 512) at <6726.409668, 51.403130, 11380.652344>
[COT 2023-12-17 15:4m:58] 76561199407766611: Spawned Entity Barrel (Barrel_Green<22585b70>, 200000, 1300, 512) at <6725.519531, 51.403816, 11380.966797>
[COT 2023-12-17 15:5m:8s] 76561199407766611: Spawned Entity Barrel (Barrel_Green<225879a0>, 200000, 1300, 512) at <6725.063965, 51.134045, 11382.057617>
[COT 2023-12-17 15:5m:15] 76561199407766611: Spawned Entity Sea Chest (SeaChest<310eaaf0>, 200000, 600, 0) at <6728.213379, 51.131611, 11380.750977>
[COT 2023-12-17 15:5m:15] 76561199407766611: Spawned Entity Sea Chest (SeaChest<310eb480>, 200000, 600, 0) at <6728.119629, 51.287342, 11381.024414>
[COT 2023-12-17 15:5m:15] 76561199407766611: Spawned Entity Sea Chest (SeaChest<310eede0>, 200000, 600, 0) at <6728.031738, 51.424561, 11381.260742>
[COT 2023-12-17 15:5m:15] 76561199407766611: Spawned Entity Sea Chest (SeaChest<310e84b0>, 200000, 600, 0) at <6727.894531, 51.645889, 11381.619141>
[COT 2023-12-17 15:6m:36] 76561199407766611: Spawned Entity Fire Barrel (BarrelHoles_Red<dc717400>, 100, 900, 0) at <6729.804688, 51.130383, 11380.697266>
[COT 2023-12-17 15:6m:46] 76561199407766611: Spawned Entity Barrel (Barrel_Red<2258f260>, 200000, 1300, 512) at <6731.306641, 51.129223, 11380.232422>
[COT 2023-12-17 15:7m:7s] 76561199407766611: Spawned Entity Short Stick (WoodenStick<310f6a30>, 5, 50, 0) at <6731.753906, 51.128880, 11380.940430>
[COT 2023-12-17 15:7m:8s] 76561199407766611: Spawned Entity Short Stick (WoodenStick<310f0100>, 5, 50, 0) at <6731.712891, 51.194492, 11380.942383>
[COT 2023-12-17 15:7m:8s] 76561199407766611: Spawned Entity Short Stick (WoodenStick<310f2740>, 5, 50, 0) at <6731.667969, 51.266579, 11380.941406>
[COT 2023-12-17 15:7m:8s] 76561199407766611: Spawned Entity Short Stick (WoodenStick<310f0a90>, 5, 50, 0) at <6731.624512, 51.338058, 11380.940430>
[COT 2023-12-17 15:7m:8s] 76561199407766611: Spawned Entity Short Stick (WoodenStick<310f30d0>, 5, 50, 0) at <6731.581543, 51.410145, 11380.939453>
[COT 2023-12-17 15:7m:8s] 76561199407766611: Spawned Entity Short Stick (WoodenStick<310fc9d0>, 5, 50, 0) at <6731.541504, 51.479851, 11380.936523>
[COT 2023-12-17 15:7m:14] 76561199407766611: Spawned Entity Firewood (Firewood<310fad20>, 1, 500, 0) at <6731.509277, 51.551929, 11380.922852>
[COT 2023-12-17 15:7m:14] 76561199407766611: Spawned Entity Firewood (Firewood<310fd360>, 1, 500, 0) at <6731.404297, 51.728539, 11380.920898>
[COT 2023-12-17 15:7m:14] 76561199407766611: Spawned Entity Firewood (Firewood<310fb6b0>, 1, 500, 0) at <6731.305176, 51.893566, 11380.918945>
[COT 2023-12-17 15:7m:15] 76561199407766611: Spawned Entity Firewood (Firewood<310f7d50>, 1, 500, 0) at <6731.217285, 52.070179, 11380.879883>
[COT 2023-12-17 15:7m:15] 76561199407766611: Spawned Entity Firewood (Firewood<310fa390>, 1, 500, 0) at <6731.149902, 52.246792, 11380.836914>
[COT 2023-12-17 15:7m:15] 76561199407766611: Spawned Entity Firewood (Firewood<310f9a00>, 1, 500, 0) at <6731.072266, 52.423405, 11380.791016>
[COT 2023-12-17 15:7m:15] 76561199407766611: Spawned Entity Firewood (Firewood<310fdcf0>, 1, 500, 0) at <6730.976074, 52.599461, 11380.768555>
[COT 2023-12-17 15:7m:15] 76561199407766611: Spawned Entity Firewood (Firewood<310fc040>, 1, 500, 0) at <6730.982422, 52.580685, 11380.761719>
[COT 2023-12-17 15:7m:16] 76561199407766611: Spawned Entity Firewood (Firewood<310f86e0>, 1, 500, 0) at <6730.973633, 52.588760, 11380.769531>
[COT 2023-12-17 15:7m:16] 76561199407766611: Spawned Entity Firewood (Firewood<310f73c0>, 1, 500, 0) at <6730.927734, 52.648258, 11380.794922>
[COT 2023-12-17 15:7m:16] 76561199407766611: Spawned Entity Firewood (Firewood<310fe680>, 1, 500, 0) at <6730.862305, 52.709293, 11380.826172>
[COT 2023-12-17 15:7m:16] 76561199407766611: Spawned Entity Firewood (Firewood<310ff010>, 1, 500, 0) at <6730.829102, 52.732914, 11380.844727>
[COT 2023-12-17 15:7m:21] 76561199407766611: Spawned Entity Light Bark (Bark_Birch<310c33d0>, 8, 25, 0) at <6730.821289, 52.717472, 11380.893555>
[COT 2023-12-17 15:7m:21] 76561199407766611: Spawned Entity Light Bark (Bark_Birch<310c20b0>, 8, 25, 0) at <6730.821289, 52.718014, 11380.894531>
[COT 2023-12-17 15:7m:21] 76561199407766611: Spawned Entity Light Bark (Bark_Birch<310c5080>, 8, 25, 0) at <6730.820313, 52.718899, 11380.895508>
[COT 2023-12-17 15:7m:21] 76561199407766611: Spawned Entity Light Bark (Bark_Birch<310c1720>, 8, 25, 0) at <6730.818848, 52.719944, 11380.896484>
[COT 2023-12-17 15:7m:22] 76561199407766611: Spawned Entity Light Bark (Bark_Birch<310c5a10>, 8, 25, 0) at <6730.817383, 52.720955, 11380.898438>
[COT 2023-12-17 15:7m:22] 76561199407766611: Spawned Entity Light Bark (Bark_Birch<310c0400>, 8, 25, 0) at <6730.814453, 52.722298, 11380.901367>
[COT 2023-12-17 15:8m:26] 76561199407766611: Spawned Entity Firewood (Firewood<310fc9d0>, 1, 500, 0) at <6730.202637, 51.130077, 11380.858398>
[COT 2023-12-17 15:8m:26] 76561199407766611: Spawned Entity Firewood (Firewood<310c46f0>, 1, 500, 0) at <6730.223145, 51.306686, 11380.859375>
[COT 2023-12-17 15:8m:26] 76561199407766611: Spawned Entity Firewood (Firewood<310bfa70>, 1, 500, 0) at <6730.245117, 51.483295, 11380.861328>
[COT 2023-12-17 15:8m:27] 76561199407766611: Spawned Entity Firewood (Firewood<310c76c0>, 1, 500, 0) at <6730.266602, 51.660526, 11380.865234>
[COT 2023-12-17 15:8m:27] 76561199407766611: Spawned Entity Firewood (Firewood<310c6d30>, 1, 500, 0) at <6730.285156, 51.837418, 11380.867188>
[COT 2023-12-17 15:8m:27] 76561199407766611: Spawned Entity Firewood (Firewood<310c89e0>, 1, 500, 0) at <6730.300781, 52.014027, 11380.868164>
[COT 2023-12-17 15:8m:45] 76561199407766611: Spawned Entity Matches (Matchbox<310c9370>, 100, 80, 0) at <6730.611328, 51.129738, 11380.899414>
[COT 2023-12-17 15:8m:45] 76561199407766611: Spawned Entity Matches (Matchbox<310c2a40>, 100, 80, 0) at <6730.611328, 51.129738, 11380.899414>
[COT 2023-12-17 15:8m:45] 76561199407766611: Spawned Entity Matches (Matchbox<310c8050>, 100, 80, 0) at <6730.611328, 51.129738, 11380.899414>
[COT 2023-12-17 15:11:8s] 76561199407766611: Spawned Entity Canned Bacon (TacticalBaconCan<42d26a20>, 100, 100, 0) at <6728.652832, 51.131241, 11381.886719>
[COT 2023-12-17 15:11:8s] 76561199407766611: Spawned Entity Canned Bacon (TacticalBaconCan<42d219a0>, 100, 100, 0) at <6728.652832, 51.131241, 11381.886719>
[COT 2023-12-17 15:11:8s] 76561199407766611: Spawned Entity Canned Bacon (TacticalBaconCan<42d223b0>, 100, 100, 0) at <6728.652832, 51.131241, 11381.886719>
[COT 2023-12-17 15:11:8s] 76561199407766611: Spawned Entity Canned Bacon (TacticalBaconCan<42d237d0>, 100, 100, 0) at <6728.652832, 51.131241, 11381.886719>
[COT 2023-12-17 15:11:8s] 76561199407766611: Spawned Entity Canned Bacon (TacticalBaconCan<3c3d23e0>, 100, 100, 0) at <6728.652832, 51.131241, 11381.886719>
[COT 2023-12-17 15:11:9s] 76561199407766611: Spawned Entity Canned Bacon (TacticalBaconCan<3c3cbf40>, 100, 100, 0) at <6728.652832, 51.131241, 11381.886719>
[COT 2023-12-17 15:11:9s] 76561199407766611: Spawned Entity Canned Bacon (TacticalBaconCan<3c3d3800>, 100, 100, 0) at <6728.652832, 51.131241, 11381.886719>
[COT 2023-12-17 15:11:9s] 76561199407766611: Spawned Entity Canned Bacon (TacticalBaconCan<3c3dd900>, 100, 100, 0) at <6728.652832, 51.131241, 11381.886719>
[COT 2023-12-17 15:11:9s] 76561199407766611: Spawned Entity Canned Bacon (TacticalBaconCan<3c3ded20>, 100, 100, 0) at <6728.652832, 51.131241, 11381.886719>
[COT 2023-12-17 15:11:9s] 76561199407766611: Spawned Entity Canned Bacon (TacticalBaconCan<3c3db0c0>, 100, 100, 0) at <6728.652832, 51.131241, 11381.886719>
[COT 2023-12-17 15:11:15] 76561199407766611: Spawned Entity MVS Canteen - Black (Canteen<3c3e8e20>, 1000, 100, 512) at <6728.652832, 51.131241, 11381.886719>
[COT 2023-12-17 15:11:15] 76561199407766611: Spawned Entity MVS Canteen - Black (Canteen<3c3f10f0>, 1000, 100, 512) at <6728.652832, 51.131241, 11381.886719>
[COT 2023-12-17 15:11:15] 76561199407766611: Spawned Entity MVS Canteen - Black (Canteen<3c3f1b00>, 1000, 100, 512) at <6728.652832, 51.131241, 11381.886719>
[COT 2023-12-17 15:11:15] 76561199407766611: Spawned Entity MVS Canteen - Black (Canteen<3c3fa7e0>, 1000, 100, 512) at <6728.652832, 51.131241, 11381.886719>
[COT 2023-12-17 15:11:16] 76561199407766611: Spawned Entity MVS Canteen - Black (Canteen<3c3fc610>, 1000, 100, 512) at <6728.652832, 51.131241, 11381.886719>
[COT 2023-12-17 15:11:50] 76561199407766611: Spawned Entity Doc's Galaxy M4 Carstock (M4_OEBttstck<40be1ac0>, 100, 200, 0) at <6728.137695, 51.131622, 11383.149414>
[COT 2023-12-17 15:11:58] 76561199407766611: Spawned Entity Doc's Galaxy M4 RIS Handguard (M4_RISHndgrd<42f10b70>, 100, 250, 0) at <6728.137695, 51.131622, 11383.149414>
[COT 2023-12-17 15:12:1s] 76561199407766611: Spawned Entity 42MA Pistol Suppressor (ItemSuppressor<42f11e90>, 100, 1800, 0) at <6728.137695, 51.131622, 11383.149414>
[COT 2023-12-17 15:12:4s] 76561199407766611: Spawned Entity $Doc's Galaxy Suppressor (ItemSuppressor<42f22a50>, 100, 1800, 0) at <6728.137695, 51.131622, 11383.149414>
[COT 2023-12-17 15:12:22] 76561199407766611: Spawned Entity 42 Glocks After Mag (Mag_Glock_15Rnd<43ab72d0>, 42, 100, 0) at <6728.543945, 51.131313, 11383.256836>
[COT 2023-12-17 15:12:22] 76561199407766611: Spawned Entity 42 Glocks After Mag (Mag_Glock_15Rnd<43ac1560>, 42, 100, 0) at <6728.543945, 51.131313, 11383.256836>
[COT 2023-12-17 15:12:23] 76561199407766611: Spawned Entity 42 Glocks After Mag (Mag_Glock_15Rnd<43ad9d70>, 42, 100, 0) at <6728.543945, 51.131313, 11383.256836>
[COT 2023-12-17 15:12:24] 76561199407766611: Spawned Entity Doc's Galaxy Stanag69 (Magazine<407ed330>, 69, 200, 0) at <6728.543945, 51.131313, 11383.256836>
[COT 2023-12-17 15:12:25] 76561199407766611: Spawned Entity Doc's Galaxy Stanag69 (Magazine<407e99d0>, 69, 200, 0) at <6728.543945, 51.131313, 11383.256836>
[COT 2023-12-17 15:12:25] 76561199407766611: Spawned Entity Doc's Galaxy Stanag69 (Magazine<407fdef0>, 69, 200, 0) at <6728.543945, 51.131313, 11383.256836>
[COT 2023-12-17 15:12:25] 76561199407766611: Spawned Entity Doc's Galaxy Stanag69 (Magazine<408021e0>, 69, 200, 0) at <6728.543945, 51.131313, 11383.256836>
[COT 2023-12-17 15:12:25] 76561199407766611: Spawned Entity Doc's Galaxy Stanag69 (Magazine<4080c470>, 69, 200, 0) at <6728.543945, 51.131313, 11383.256836>
[COT 2023-12-17 15:12:43] 76561199407766611: Spawned Entity 42 Glocks After (Glock19_Base<f9c05c20>, 69, 2800, 0) at <6728.543945, 51.131313, 11383.256836>
[COT 2023-12-17 15:12:58] 76561199407766611: Spawned Entity Doc's Galaxy M4 (M4A1_Base<f9c03af0>, 100, 1200, 0) at <6728.543945, 51.131313, 11383.256836>
[COT 2023-12-17 15:14:14] 76561199407766611: Spawned Entity .408 CheyTac (GCGN_Ammo_408Chey<445d4640>, 10, 100, 0) at <6726.232910, 51.133072, 11382.502930>
[COT 2023-12-17 15:14:14] 76561199407766611: Spawned Entity .408 CheyTac (GCGN_Ammo_408Chey<4459f330>, 10, 100, 0) at <6726.232910, 51.133072, 11382.502930>
[COT 2023-12-17 15:14:30] 76561199407766611: Spawned Entity CheyTac 7 Round Mag (GCGN_M200_Mag<3c016ef0>, 7, 100, 0) at <6726.232910, 51.133072, 11382.502930>
[COT 2023-12-17 15:14:30] 76561199407766611: Spawned Entity CheyTac 7 Round Mag (GCGN_M200_Mag<3c02f700>, 7, 100, 0) at <6726.232910, 51.133072, 11382.502930>
[COT 2023-12-17 15:14:30] 76561199407766611: Spawned Entity CheyTac 7 Round Mag (GCGN_M200_Mag<3e415360>, 7, 100, 0) at <6726.232910, 51.133072, 11382.502930>
[COT 2023-12-17 15:14:31] 76561199407766611: Spawned Entity CheyTac 7 Round Mag (GCGN_M200_Mag<3e427240>, 7, 100, 0) at <6726.232910, 51.133072, 11382.502930>
[COT 2023-12-17 15:14:33] 76561199407766611: Spawned Entity M200 CheyTac Black (GCGN_M200<f9c0b4a0>, 7, 300, 0) at <6726.232910, 51.133072, 11382.502930>
[COT 2023-12-17 15:14:38] 76561199407766611: Spawned Entity M200 Black Stock (SNAFU_M200S_BK<42c49390>, 7, 100, 0) at <6726.232910, 51.133072, 11382.502930>
[COT 2023-12-17 15:14:41] 76561199407766611: Spawned Entity M200 Black Bipod (SNAFU_M200B_BK<42c4b9d0>, 7, 100, 0) at <6726.232910, 51.133072, 11382.502930>
[COT 2023-12-17 15:15:28] 76561199407766611: Spawned Entity 50Bmg & 408 Suppressor Tan (SNAFU_408_Suppressor_T<2be617b0>, 100, 20, 0) at <6726.232910, 51.133072, 11382.502930>
[COT 2023-12-17 15:15:45] 76561199407766611: Spawned Entity SNAFU AR DMR Optic 12X (SNAFU_HuntingOptic<4105ece0>, 100, 50, 0) at <6726.232910, 51.133072, 11382.502930>
[COT 2023-12-17 15:16:16] 76561199407766611: Spawned Entity Bandage (BandageDressing<3def86d0>, 4, 50, 0) at <6725.946777, 51.133293, 11381.970703>
[COT 2023-12-17 15:16:16] 76561199407766611: Spawned Entity Bandage (BandageDressing<403f7fc0>, 4, 50, 0) at <6725.946777, 51.133293, 11381.970703>
[COT 2023-12-17 15:16:17] 76561199407766611: Spawned Entity Bandage (BandageDressing<403faf90>, 4, 50, 0) at <6725.946777, 51.133293, 11381.970703>
[COT 2023-12-17 15:16:17] 76561199407766611: Spawned Entity Bandage (BandageDressing<d3355f80>, 4, 50, 0) at <6725.946777, 51.133293, 11381.970703>
[COT 2023-12-17 15:16:17] 76561199407766611: Spawned Entity Bandage (BandageDressing<d3363b70>, 4, 50, 0) at <6725.946777, 51.133293, 11381.970703>
[COT 2023-12-17 15:16:53] 76561199407766611: Spawned Entity Jerrycan (CanisterGasoline<410848a0>, 0, 300, 8192) at <6728.208984, 51.131550, 11384.675781>
[COT 2023-12-17 15:18:29] 76561199407766611: Spawned Entity CodeLock (CodeLock<41099ec0>, 100, 1500, 0) at <6726.053223, 51.133209, 11382.280273>
[COT 2023-12-17 15:18:30] 76561199407766611: Spawned Entity CodeLock (CodeLock<22565a40>, 100, 1500, 0) at <6726.053223, 51.133209, 11382.280273>
[COT 2023-12-17 15:18:30] 76561199407766611: Spawned Entity CodeLock (CodeLock<22568c90>, 100, 1500, 0) at <6726.053223, 51.133209, 11382.280273>
[COT 2023-12-17 15:20:16] 76561199407766611: Spawned Entity Fence Kit (FenceKit<439e2b80>, 100, 200, 0) at <6734.423340, 30.726820, 11376.187500>
[COT 2023-12-17 15:22:38] 76561199407766611: Entered the Free Camera
[COT 2023-12-17 15:22:44] 76561199407766611: Left the Free Camera
[COT 2023-12-17 15:25:58] 76561199407766611: Spawned Entity Wooden Log (WoodenLog<387405e0>, 1, 500, 0) at <6734.075195, 34.127178, 11375.499023>
[COT 2023-12-17 15:25:58] 76561199407766611: Spawned Entity Wooden Log (WoodenLog<387448d0>, 1, 500, 0) at <6734.075195, 34.127178, 11375.499023>
